Date;CFC12;CFC11;CFC113;SF6;;
1998;542.6540768;265.939596;83.89233333;4.117250012;;
1998.5;542.962753;264.8421352;83.54383333;4.229795134;;
1999;543.263315;263.8629182;83.20766667;4.342340256;;
1999.5;544.3397936;262.1409718;82.71133333;4.454885378;;
2000;545.3104501;262.0365615;82.431;4.5674305;;
2000.5;546.106652;261.1195955;82.2366667;4.679975622;;
2001;546.9762195;261.0813885;82.06666667;4.792520744;;
2001.5;547.5736246;259.4101652;81.6525;4.905065866;;
2002;548.5165576;258.899971;81.476;5.017610988;;
2002.5;546.5762591;256.9935775;81.15933333;5.13015611;;
2003;546.4014665;256.8848854;80.483;5.242701231;;
2003.5;546.3259034;254.8750696;80.1455;5.355246353;;
2004;546.1384325;253.4726122;79.78633333;5.467791475;;
2004.5;545.4997805;251.9996695;79.335;5.580336597;;
2005;545.4514336;250.9341576;79.47757333;5.6585;;
2005.5;544.7005357;249.8597526;78.93125167;5.7865;;
2006;543.9171811;248.6582109;78.60366667;5.9355;;
2006.5;542.8667355;247.7060022;78.134;6.06;;
2007;542.1638463;246.5212583;77.805;6.1665;;
2007.5;540.4845532;245.191921;77.15566667;6.311;;
2008;539.3002239;243.8849808;76.96633333;6.4985;;
2008.5;537.5715697;242.9133393;76.51766667;6.6325;;
2009;536.9859978;241.9947264;76.34533333;6.7615;;
2009.5;535.2586959;240.6620954;75.83383333;6.893;;
2010;534.9371723;240.1878026;75.65533333;7.064;;
2010.5;532.8051767;238.804778;75.20666667;7.1935;;
2011;532.2196048;237.4978378;75.03433333;7.3335;;
2011.5;530.492303;236.5261963;74.52283333;7.4735;;
2012;530.1707794;235.6075834;74.34433333;7.6135;;
2012.5;528.0387838;234.2749523;73.89566667;7.7535;;
2013;527.4532119;232.8919277;73.72333333;7.8935;;
2013.5;525.72591;231.5089031;73.21183333;8.05;;
2014;525.4043864;230.2019629;73.03333333;8.2;;
